"GDP pc","Argentina","Australia","Austria","Belgium","Brazil","Canada","Chile","China","Colombia","Denmark","Egypt","Finland","France","Germany","Greece","Iceland","India","Indonesia","Italy","Japan","Korea","Mexico","Malaysia","Netherlands","New Zealand","Norway","Peru","Philippines","Portugal","Russia","S. Africa","Singapore","Spain","Sri Lanka","Sweden","Switzerland","Taiwan","Turkey","United Kingdom","Uruguay","United States","Venezuela"
"Indexes, 2006=100","YPCINXAR","YPCINXASL","YPCINXAUT","YPCINXBE","YPCINXBR","YPCINXCA","YPCINXCHL","YPCINXCH","YPCINXCO","YPCINXDE","YPCINXEG","YPCINXFI","YPCINXFR","YPCINXGE","YPCINXGR","YPCINXICE","YPCINXIN","YPCINXINO","YPCINXIT","YPCINXJA","YPCINXKO","YPCINXME","YPCINXMY","YPCINXNE","YPCINXNZ","YPCINXNO","YPCINXPE","YPCINXPH","YPCINXPO","YPCINXRS","YPCINXSAF","YPCINXSI","YPCINXSP","YPCINXSR","YPCINXSW","YPCINXSZ","YPCINXTA","YPCINXTU","YPCINXUK","YPCINXUR","YPCINXUS","YPCINXVE"
"1981","79.282791675884141","61.326551616268461","60.820750796004901","63.443198845608698","80.929211241683873","67.017722497097083","45.134183325578739","11.750283402591025","66.590355658166615","64.775124082402911","51.736352775237336","56.57884555048917","65.775816425896295","65.688134755145043","64.306360714453092","63.712422213557602","36.118222371323995","47.670848404948664","58.052866722844975","60.983804208703717","24.035667823637304","84.296566973338898","39.12091092902638","61.093429227446507","69.561172186883837","54.164241340207013","95.014026703329023","84.59837584538495","57.039493744674942","98.359078081518973","100.20439720129164","33.400389293908844","53.58540873882108","42.237129736303778","61.768992580930004","78.289958920166015","26.898618127531769","54.069124698441478","55.172956925753404","77.214660115591585","60.461110027145445","109.44081039649406"
"1982","75.714577628082537","58.843155243344462","61.932867595018116","63.794940439461506","79.816933096309995","64.198090342817679","37.957131695793457","12.743656405574992","66.187164077256654","66.434323251437405","55.570659731944417","57.972110904913578","67.29468459261129","65.12086807827832","63.174808233504095","64.120795453466528","36.603554640764749","44.966330171699951","58.6726084813493","62.254407829281817","25.415984776279927","81.917987232964606","40.486028408282891","60.016196023989217","71.74880860169867","54.019106320133332","92.721344991781791","85.615605980191404","57.907231474387729","99.98802326893906","97.276722526088093","34.276913403067923","54.137769419704597","43.46298870442827","62.470524846974605","76.730005090406962","27.353852947211426","54.633034934431919","56.269265751446603","69.580966156318723","58.71097093139435","104.05837907856304"
"1983","77.740061603118178","60.85778053018862","64.010615467767153","63.993868943177702","75.746465692408563","65.406458584767037","37.027264327700337","13.839604015033341","66.318763209722349","68.179812417787232","58.277266070690011","59.334960468013598","68.45308294886668","66.50059975342954","62.125577953688357","61.999809773062353","38.418939919659273","45.457865073601745","59.311080308001415","62.832099269100546","27.78347800621297","77.247156946483273","41.973150028396844","60.8700588103477","72.778091872859036","55.94671930115328","82.05937582093685","85.233429511556068","57.555760963133267","102.24477049587749","92.954989296756608","36.75518158432677","55.085391777419204","44.923192727923542","63.572798813067692","76.746272317877015","29.183281278346204","55.971789502682476","58.208152833432209","60.570984350411919","60.825102332146329","93.704716307612216"
"1984","78.26974191426909","63.420737630987027","63.998480975124565","65.591686221974498","78.22098428913219","68.496103700449183","38.765867617732717","15.760140744551835","67.285490585669493","70.303341986933276","60.354938557751971","60.82266757460701","69.265866428768717","68.646896369369685","63.065507502345433","63.972621136454457","39.153157278063887","47.705294513949319","62.19637580489745","64.391915331483631","29.688647690361886","78.219649681637733","44.197079688010085","62.515533219102927","75.637636872763125","59.089469617769723","83.356563367902439","77.017993537813624","56.274257865489588","102.7172294762766","95.251358691252989","39.119471007769505","55.673996964049351","46.671917525386206","66.230423365031086","78.809594586840745","31.875388505761563","58.318587265678239","59.617424617686147","59.008971575975586","64.667961759192806","88.645258343027976"
"1985","71.740389815289873","65.351860622571621","65.608880800208553","66.641832981209362","82.724580165344562","71.53217842561881","39.103198554207204","17.671686250808513","68.239284908869664","73.08666422150084","62.835142703745667","62.568848618117606","70.383592823840218","70.209975224798725","64.405981864981101","65.642144484660037","40.509641497022535","48.019648285844291","64.141512687904793","67.26969847148176","31.413572375484762","78.285746311099942","42.611012495375753","63.908731577548167","75.785236296746717","62.103079624634134","83.24279098213124","69.568144908136432","57.72795299273087","102.63438968185412","91.591533417512181","38.497644628962007","56.931908882183684","48.293325272659686","67.571166565819084","81.166914673259768","33.052459968592558","59.35788037835264","61.559120162416825","59.263826197933099","66.763394217514985","86.483591170671318"
"1986","75.958253227536702","65.759373889836439","66.969543242896719","67.829539976600955","87.243945617717188","72.67149341143471","40.665618532751822","18.961981638091736","71.030471323287259","76.453405855002131","62.953809800284617","64.012970601207911","71.812181836521617","71.808006160276761","64.544870228259228","69.185830423887111","41.610552507778706","50.111390165285002","65.562129327406439","68.848884510267879","34.45241633185379","74.265953820733415","42.063874266733833","65.537107712827819","77.242693419778035","64.365292648293135","91.504555952919134","70.292623720110029","60.122455258330497","104.07127113740007","89.228262186756709","39.356694445117078","58.589196710411208","49.524856246421109","69.347023302942276","82.065713824168128","36.477353237258441","62.157845084991514","63.814002414544426","64.43517666969727","68.458260938802042","87.818576022039366"
"1987","76.907562647199086","68.355472700158401","67.930097286442916","69.339092162372779","88.62935437382832","74.648977404265295","42.672172595958124","20.855045037718931","73.797517589624491","76.880709272637532","63.015762739855028","66.103922354271901","73.172453273097204","72.861940570522677","62.847263776857709","74.188505438673985","42.469339326021064","51.82846356744745","68.144501460297391","71.122245232520186","37.949544053582457","74.051121314011695","43.259994996385608","66.331694505771139","76.883163129674244","65.221900327759727","96.627263191262699","71.682678756741936","64.05941628309327","104.58444308580934","88.847665449232125","42.620356745481686","61.757548587105447","49.62401317857455","71.512674191503137","82.514710598110398","40.717803775834106","66.689392654589597","66.529984992795676","71.165959054876367","70.154744344512508","92.219510233715653"
"1988","74.432969101224003","69.983623473183471","70.086678018449931","72.389334281649866","86.929081422103593","77.272825905019815","45.058778840872634","22.873166353935456","75.958720527836263","76.292420400938042","64.870111744873014","69.275674328671997","76.235320045593539","75.11487136634895","65.315818026431771","72.843840904597329","45.740369156967262","54.011005175904614","71.999658748066196","75.629405764186686","41.607076838802001","73.540590547533299","46.02739781621483","68.157274813952142","75.733865584116671","64.739667753510872","85.472087821845832","74.890457027797197","69.023519051768957","109.20299062149277","90.433452481355289","46.419721117951717","64.813978568809674","50.166093001957627","73.090111229050862","84.547841329820443","43.542785857428747","66.639651424632419","69.648009234045787","69.940310318615801","72.414287804521919","96.57628621656194"
"1989","68.223966044426476","71.542583286119921","72.225635124655398","74.637442402380429","88.129186572756169","77.742369794431355","49.022248987197187","23.457579564292732","77.442334770184402","75.468456952208058","66.625898026355614","72.806215419804275","78.48847736664716","77.063956610358517","67.452901061217389","72.519342366072436","47.721226611786975","57.977373970932724","75.095615295564343","79.320649396812726","43.993300930546354","75.134526289047372","49.263619933953386","70.745219468202237","75.069706937166657","65.119261830209055","72.17552100592512","77.793335002180839","73.683704596350779","109.40825940085648","90.555915360731916","49.6810439518324","67.755813516438394","50.636532742678668","74.632094985574824","87.644385348858563","46.718867186920562","65.344976018426792","70.971583661873964","69.717059960085365","74.291247771859602","87.9594797953241"
"1990","66.026864441472938","70.062322407200796","74.799184448979702","76.758302676718657","81.021385016317197","76.781809089403879","49.973831528936024","24.002236189983591","79.804617376938594","76.201509782695837","68.987069763739981","72.513823003853815","80.188784885533565","79.585983611491486","66.978257257912489","72.672044105977662","49.506298064872247","62.184276917419986","76.496812814054707","83.175260169582103","47.533069605419556","77.590274756835825","52.855901177442391","73.225794892666869","74.011495179282321","66.132032865690661","66.968072441446282","78.293693749282113","76.898661651996846","104.78971186517305","88.405488460362861","52.294498565850581","70.171434294524914","53.299424684495037","74.807223093665215","90.027276187904846","49.214879521669907","69.902644418100408","71.311133016128579","68.532845369830014","74.841864431377118","90.517233846537678"
