"country","year","cpicss"
"Brazil",1939,56.9289
"Brazil",1940,60.8104
"Brazil",1941,68.1422
"Brazil",1942,79.7868
"Brazil",1943,83.237
"Brazil",1944,94.9595
"Brazil",1945,102.7797
"Brazil",1946,129.0332
"Brazil",1947,158.6382
"Brazil",1948,166.9095
"Brazil",1949,174.1845
"Brazil",1950,180.6281
"Brazil",1951,200.9981
"Brazil",1952,255.6646
"Brazil",1953,305.5505
"Brazil",1954,374.1434
"Brazil",1955,442.7363
"Brazil",1956,557.0579
"Brazil",1957,633.9651
"Brazil",1958,777.3868
"Brazil",1959,1109.9586
"Brazil",1960,1467.4731
"Brazil",1961,2099.3599
"Brazil",1962,3408.8623
"Brazil",1963,6152.5796
"Brazil",1964,11411.373
"Brazil",1965,16108.9492
"Brazil",1966,23487.8887
"Brazil",1967,29515.75
"Brazil",1968,36998.6172
"Brazil",1969,45312.918
"Brazil",1970,53211.5
"Brazil",1971,64227.9414
"Brazil",1972,75452.25
"Brazil",1973,86052.9688
"Brazil",1974,115170.2813
"Brazil",1975,151106.8438
"Brazil",1976,218845.2031
"Brazil",1977,313189.5313
"Brazil",1978,432913.7813
"Brazil",1979,761829.875
"Brazil",1980,1517950
"Brazil",1981,2969460
"Brazil",1982,6081170
"Brazil",1983,16055021
"Brazil",1984,50615592
"Brazil",1985,173.2216
"Brazil",1986,311.2178
"Brazil",1987,1442.219
"Brazil",1988,15579.0439
"Brazil",1989,322939.8125
"Brazil",1990,5557686
"Brazil",1991,31828870
"Brazil",1992,388.026
"Brazil",1993,10000
"Brazil",1994,101645.7031
"Brazil",1995,124422.625
"Brazil",1996,136323.5938
"Brazil",1997,142951
"Brazil",1998,146506.0156
"Brazil",1999,158855.0156
"Brazil",2000,168347
"Brazil",2001,181265
"Brazil",2002,203978
"Brazil",2003,222949
"Brazil",2004,239892
"Brazil",2005,253540
"Brazil",2006,261505
"Brazil",2007,273162
"Brazil",2008,289286
"Brazil",2009,301759
"Brazil",2010,319589
"Brazil",2011,342279
"Brazil",2012,363344
"Brazil",2013,383638
"Brazil",2014,405986
"Brazil",2015,449317
"Brazil",2016,477570
"China",1978,19.5956045
"China",1979,19.9638285
"China",1980,21.463109
"China",1981,22.7782777
"China",1982,22.4100052
"China",1983,22.8834774
"China",1984,23.4884375
"China",1985,26.3028383
"China",1986,26.5122475
"China",1987,28.872484
"China",1988,36.9281285
"China",1989,39.3654646
"China",1990,41.0566756
"China",1991,42.9045742
"China",1992,46.6799577
"China",1993,48.122937
"China",1994,60.3942854
"China",1995,66.4941082
"China",1996,71.1486957
"China",1997,71.433291
